,Description,Category,Sub_Category
0,ACTIV N FIT 888-221-1161 CA,Subscriptions_Memberships,Gym
1,DOLLAR TREE LITTLE ROCK AR,Merchandise,Merchandise
2,PAYMENT - THANK YOU,Payments and Credits,Payments and Credits
3,MIKE'S CAFE LITTLE ROCK AR,Food,Restaurants
4,PEI WEI T3 FC1 LAS LAS VEGAS NV018829,Food,Restaurants
5,SQ *SAN MATEO CAR WASH SAN MATEO CA0001152921512610586891,Auto,Maintenance
7,SMALL BALANCE CREDIT,Payments and Credits,Payments and Credits
10,AMZN MKTP US*HM13W4OG2 AMZN.COM/BILLWALD7HELJAKHK,Merchandise,Merchandise
11,AMZN MKTP US*HM7JT74N1 AMZN.COM/BILLWA6H20WRDACQL,Merchandise,Merchandise
13,AUTOMATIC STATEMENT CREDIT,Payments and Credits,Payments and Credits
14,INTERNET PAYMENT - THANK YOU,Payments and Credits,Payments and Credits
15,FASTRAK CSC 415-486-8655 CA,Travel/Entertainment,Tolls
16,MYRENTAL* SAFERENT SOL 8774963352 TX,Home,Home
19,AMC 0215 BAY STREET 16 EMERYVILLE CA,Travel/Entertainment,Movies_TV
20,MCDONALD'S F2156 SAN JOSE CA,Food,Restaurants
22,SANTA CLARA PAINTBALL SAN JOSE CA,Travel/Entertainment,Travel/Entertainment
23,ALAMEDA COUNTY FAIR PLEASANTON CA,Travel/Entertainment,Travel/Entertainment
24,BUTLER AMUSEMENTS INC BEAVERTON OR,Travel/Entertainment,Travel/Entertainment
25,88 BAO BAO CASTRO VALLEYCA,Food,Restaurants
27,WALMART SC 05435 SAN JOSE CA,Food,Groceries
29,$100 REFER A FRIEND CREDIT,Payments and Credits,Payments and Credits
30,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,Payments and Credits,Payments and Credits
31,EXTREME EXPRESS CAR WASH SAN JOSE CA,Auto,Maintenance
32,COMCAST CALIFORNIA 800-266-2278 CA1IAJ162731485500,Utilities,Internet
34,AMAZON PRIME*MY9J63UA3 AMZN.COM/BILLWAFBQEDEGRFYY,Merchandise,Merchandise
36,TARGET 00025817091 SAN JOSE CA,Food,Groceries
38,U-HAUL MOVING & STORAGE 800-789-3638 CA,Travel/Entertainment,Travel/Entertainment
39,U-HAUL MOVING & STORAGE SANTA CLARA CA,Travel/Entertainment,Travel/Entertainment
41,AMAZON.COM*VJ2CM99X3 AMZN.COM/BILLWA2GYMJVSPYAD,Merchandise,Merchandise
42,FOURTH STREET BOWL SAN JOSE CA,Travel/Entertainment,Travel/Entertainment
43,KENJI SUSHI. SAN JOSE CA,Food,Restaurants
44,TST* FAVORITE INDIAN RES HAYWARD CA,Food,Restaurants
45,CENTURY THEATRES 1009 HAYWARD CA1009002AF38E,Travel/Entertainment,Travel/Entertainment
46,WALMART SC 00024 JACKSONVILLE AR,Food,Groceries
47,LITTLE ROCK SHARKS FISH LITTLE ROCK AR,Food,Restaurants
48,VICTORY EXPRESS MART JACKSONVILLE AR,Auto,Gas
49,COMCAST CALIFORNIA 800-COMCAST CA60Q6865313731800,Utilities,Internet
50,CK DEALER # 08185 LITTLE ROCK AR02577R,Auto,Gas
51,PANDA EXPRESS A GATES DENVER CO,Food,Restaurants
53,WALMART SC 02119 MILPITAS CA,Food,Groceries
54,AMZN MKTP US*TH73F7ZI0 AMZN.COM/BILLWA535LY4LV5YZ,Merchandise,Merchandise
55,PANDA EXPRESS #1937 SAN JOSE CA,Food,Restaurants
56,CHIPOTLE 1561 SAN JOSE CA,Food,Restaurants
57,MONTAGUE VALERO SAN JOSE CA,Auto,Gas
59,APPLEBEES 402045953163 SAN JOSE CA,Food,Restaurants
62,SQ *SAPPORO ROCK-N-ROL SAN MATEO CA0001152921513047301317,Food,Restaurants
64,CENTURY THEATRES 440 MILPITAS CA0440008B37E7,Travel/Entertainment,Travel/Entertainment
65,MCDONALD'S F14680 MILPITAS CA,Food,Restaurants
66,ARTEAGA'S FOOD CENTER SANTA CLARA CA,Food,Groceries
67,LA PLAZA MARKET SAN JOSE CA,Food,Groceries
68,SUPERCENTER 03123 SANTA CLARA CA,Food,Groceries
69,ZUKA AFRICAN FOODS SAN JOSE CA,Food,Groceries
70,AMZN MKTP US*TO7MY3L41 AMZN.COM/BILLWA3JBGQMARKM7,Merchandise,Merchandise
72,SHELL57444212906 SANTA CLARA CA,Auto,Gas
73,TOKYO SUSHI SAN JOSE CA,Food,Restaurants
75,COMCAST CALIFORNIA 800-COMCAST CATHQX667269397400,Utilities,Internet
77,CENTURY THEATRES 440 MILPITAS CA0440008BC434,Travel/Entertainment,Travel/Entertainment
82,HELLO STRANGER OAKLAND CA,Food,Restaurants
83,PLAYSTATION NETWORK 800-345-7669 CA6A1CF3BE85,Travel/Entertainment,Games
88,AMZN MKTP US*TX2UC4T02 AMZN.COM/BILLWA35M9PRCBO2A,Merchandise,Merchandise
