,Brand,Category,Sub_Category
1818,Nike Air Max 270,Clothes,Shoes
1819,Adidas Ultra Boost,Clothes,Shoes
1820,Converse Chuck Taylor All Star,Clothes,Shoes
1821,Vans Old Skool,Clothes,Shoes
1822,New Balance 990v5,Clothes,Shoes
1823,Adidas Stan Smith,Clothes,Shoes
1824,Nike Air Force 1,Clothes,Shoes
1825,Reebok Classic Leather,Clothes,Shoes
1826,Puma Cali,Clothes,Shoes
1827,Saucony Jazz Original,Clothes,Shoes
1828,Asics Gel-Kayano 27,Clothes,Shoes
1829,Fila Disruptor II,Clothes,Shoes
1830,Adidas Originals Superstar,Clothes,Shoes
1831,Timberland Classic 6-Inch Boot,Clothes,Shoes
1832,Birkenstock Arizona,Clothes,Shoes
1833,Doc Martens 1460,Clothes,Shoes
1834,Brooks Adrenaline GTS 21,Clothes,Shoes
1835,Nike Zoom Pegasus 38,Clothes,Shoes
1836,Converse One Star,Clothes,Shoes
1837,Vans Sk8-Hi,Clothes,Shoes
1838,New Balance 990v4,Clothes,Shoes
1839,Adidas NMD_R1,Clothes,Shoes
1840,Nike Free RN 5.0,Clothes,Shoes
1841,Reebok Club C 85,Clothes,Shoes
1842,Puma Suede Classic,Clothes,Shoes
1843,Asics Gel-Nimbus 23,Clothes,Shoes
1844,Saucony Triumph 18,Clothes,Shoes
1845,Fila D-Formation,Clothes,Shoes
1846,Adidas Yeezy Boost 350 V2,Clothes,Shoes
1847,Timberland 6-Inch Premium Boot,Clothes,Shoes
1848,Birkenstock Gizeh,Clothes,Shoes
1849,Doc Martens Jadon,Clothes,Shoes
1850,Brooks Ghost 14,Clothes,Shoes
1851,Nike Joyride Run Flyknit,Clothes,Shoes
1852,Converse Chuck 70,Clothes,Shoes
1853,Vans Slip-On,Clothes,Shoes
1854,New Balance 990v3,Clothes,Shoes
1855,Adidas Originals Campus,Clothes,Shoes
1856,Nike Air Zoom Structure 23,Clothes,Shoes
1857,Reebok Aztrek,Clothes,Shoes
1858,Puma RS-X3,Clothes,Shoes
1859,Asics Gel-Kinsei OG,Clothes,Shoes
1860,Saucony Endorphin Shift,Clothes,Shoes
1861,Fila Ray,Clothes,Shoes
1862,Adidas Ultraboost 21,Clothes,Shoes
1863,Timberland Euro Hiker,Clothes,Shoes
1864,Birkenstock Boston,Clothes,Shoes
1865,Doc Martens 1490,Clothes,Shoes
1866,Brooks Launch 8,Clothes,Shoes
1867,Nike Air Zoom Pegasus 38 Shield,Clothes,Shoes
1868,Converse Run Star Hike,Clothes,Shoes
1869,Vans Era,Clothes,Shoes
1870,New Balance 990v2,Clothes,Shoes
1871,Adidas Samba Classic,Clothes,Shoes
1872,Nike React Infinity Run Flyknit 2,Clothes,Shoes
1873,Reebok Nano X1,Clothes,Shoes
1874,Puma Future Rider,Clothes,Shoes
1875,Asics Gel-Kayano 28,Clothes,Shoes
1876,Saucony Omni 20,Clothes,Shoes
1877,Fila Trailblazer,Clothes,Shoes
1878,Adidas Yeezy Boost 700,Clothes,Shoes
1879,Timberland Chukka Boot,Clothes,Shoes
1880,Birkenstock Mayari,Clothes,Shoes
1881,Doc Martens 2976,Clothes,Shoes
1882,Brooks Levitate 4,Clothes,Shoes
1883,Nike Air Max 2090,Clothes,Shoes
1884,Converse Jack Purcell,Clothes,Shoes
1885,Vans Authentic,Clothes,Shoes
1886,New Balance Fresh Foam 1080v11,Clothes,Shoes
1887,Adidas Gazelle,Clothes,Shoes
1888,Nike Air Zoom Terra Kiger 7,Clothes,Shoes
1889,Reebok Classic Nylon,Clothes,Shoes
1890,Puma Ralph Sampson,Clothes,Shoes
1891,Asics Gel-Contend 7,Clothes,Shoes
1892,Saucony Ride 14,Clothes,Shoes
1893,Fila Mindblower,Clothes,Shoes
1894,Adidas Nite Jogger,Clothes,Shoes
1895,Timberland Radford Boot,Clothes,Shoes
1896,Birkenstock Milano,Clothes,Shoes
1897,Doc Martens 1461,Clothes,Shoes
1898,Brooks Glycerin 19,Clothes,Shoes
1899,Nike Air Zoom SuperRep 2,Clothes,Shoes
1900,Converse Chuck Taylor All Star 70,Clothes,Shoes
1901,Vans Era 59,Clothes,Shoes
1902,New Balance FuelCell Propel v3,Clothes,Shoes
1903,Adidas Adilette,Clothes,Shoes
1904,Nike Air Max 97,Clothes,Shoes
1905,Reebok Zig Kinetica II,Clothes,Shoes
1906,Puma Calibrate Runner,Clothes,Shoes
1907,Asics Gel-Cumulus 23,Clothes,Shoes
1908,Saucony Guide 14,Clothes,Shoes
1909,Fila Vulc 13,Clothes,Shoes
1910,Adidas Superstar 80s,Clothes,Shoes
1911,Timberland Davis Square,Clothes,Shoes
1912,Birkenstock Zurich,Clothes,Shoes
1913,Doc Martens 101,Clothes,Shoes
1914,Brooks Transcend 7,Clothes,Shoes
1915,Nike Revolution 5,Clothes,Shoes
1916,Converse Pro Leather,Clothes,Shoes
1917,Vans Authentic Platform,Clothes,Shoes
1918,New Balance Fresh Foam,Clothes,Shoes
1919,Adidas Terrex Swift R3 GTX,Clothes,Shoes
1920,Nike Blazer Mid '77,Clothes,Shoes
1921,Reebok Legacy Lifter II,Clothes,Shoes
1922,Puma Clyde,Clothes,Shoes
1923,Asics Gel-Quantum 360 6,Clothes,Shoes
1924,Saucony Cohesion 14,Clothes,Shoes
1925,Fila F-13,Clothes,Shoes
1926,Adidas ZX 2K Boost,Clothes,Shoes
1927,Timberland Jayne Waterproof Boot,Clothes,Shoes
1928,Birkenstock Florida,Clothes,Shoes
1929,Doc Martens Pascal,Clothes,Shoes
1930,Brooks Addiction Walker 2,Clothes,Shoes
1931,Nike Air Max 95,Clothes,Shoes
1932,Converse ERX 260,Clothes,Shoes
1933,Vans UltraRange Rapidweld,Clothes,Shoes
1934,New Balance Fresh Foam More v3,Clothes,Shoes
1935,Adidas Courtjam Bounce,Clothes,Shoes
1936,Nike Phantom GT Elite DF,Clothes,Shoes
1937,Reebok Classic Vector,Clothes,Shoes
1938,Puma Mirage Tech,Clothes,Shoes
1939,Asics Gel-Venture 8,Clothes,Shoes
1940,Saucony Excursion TR14,Clothes,Shoes
1941,Fila Venom,Clothes,Shoes
1942,Adidas Ultraboost 19,Clothes,Shoes
1943,Timberland Courmayeur Valley Boot,Clothes,Shoes
1944,Birkenstock Taormina,Clothes,Shoes
1945,Doc Martens 1460 Pascal,Clothes,Shoes
1946,Brooks Ravenna 12,Clothes,Shoes
1947,Nike Renew Run,Clothes,Shoes
1948,Converse CTAS Pro,Clothes,Shoes
