,Brand,Category,Sub_Category
0,SONIC Drive In,Food,Fast_Food
1,Taco Bell,Food,Fast_Food
2,Arby's,Food,Fast_Food
3,Steak 'n Shake,Food,Fast_Food
4,Wendy's,Food,Fast_Food
5,Burger King,Food,Fast_Food
6,Chipotle Mexican Grill,Food,Fast_Food
7,7-Eleven,Food,Fast_Food
8,Dairy Queen,Food,Fast_Food
9,Mr. Hero,Food,Fast_Food
10,Golden Chick,Food,Fast_Food
11,Carl's Jr,Food,Fast_Food
12,Checkers,Food,Fast_Food
13,Rally's,Food,Fast_Food
14,Togo's,Food,Fast_Food
15,Little Q Hot Pot,Food,Fast_Food
16,McDonald's,Food,Fast_Food
17,Five Guys,Food,Fast_Food
18,Boston Road Pizza,Food,Fast_Food
19,Boston Market,Food,Fast_Food
20,D'Angelo Grilled Sandwiches,Food,Fast_Food
21,Nino's Pizzarama,Food,Fast_Food
22,Filippi's Pizza Grotto,Food,Fast_Food
23,Jack in the Box,Food,Fast_Food
24,Round Table Pizza,Food,Fast_Food
25,El Pollo Loco,Food,Fast_Food
26,In-N-Out Burger,Food,Fast_Food
27,Copper Oven Artisan Pizza,Food,Fast_Food
28,Del Taco,Food,Fast_Food
29,Little Caesars Pizza,Food,Fast_Food
30,Sbarro,Food,Fast_Food
31,Casey's General Store,Food,Fast_Food
32,SUBWAY,Food,Fast_Food
33,Fat Patty's,Food,Fast_Food
34,Pizza Hut,Food,Fast_Food
35,Culver's,Food,Fast_Food
36,KFC,Food,Fast_Food
37,SONIC Drive-In,Food,Fast_Food
38,Whataburger,Food,Fast_Food
39,Chick-Fil-A,Food,Fast_Food
40,Firehouse Subs,Food,Fast_Food
41,Cupie's Drive-In,Food,Fast_Food
42,Primo's Pizza,Food,Fast_Food
43,Simple Simon's Pizza,Food,Fast_Food
44,CASA Mexicana,Food,Fast_Food
45,Bob Evans,Food,Fast_Food
46,Players Grill,Food,Fast_Food
47,Back Yard Burgers,Food,Fast_Food
48,Italo's Pizza,Food,Fast_Food
49,Hunan Gardens,Food,Fast_Food
50,Toppers Pizza,Food,Fast_Food
51,Hernandez Mexican Restaurant,Food,Fast_Food
52,Glorious Foods Gourmet to go & Catering,Food,Fast_Food
53,Schlotzsky's,Food,Fast_Food
54,Chicken Express,Food,Fast_Food
55,Big House Burgers,Food,Fast_Food
56,Jerry's Subs & Pizza,Food,Fast_Food
57,Fox's Pizza Den,Food,Fast_Food
58,Pizza Pub,Food,Fast_Food
59,Grande Italian Restaurant,Food,Fast_Food
60,Arni's Crawfordsville,Food,Fast_Food
61,Arctic Circle,Food,Fast_Food
62,Pizza Barn,Food,Fast_Food
63,Rico's Pizza & Subs,Food,Fast_Food
64,B's Pizza,Food,Fast_Food
65,Domino's Pizza,Food,Fast_Food
66,Hardee's,Food,Fast_Food
