Category,Sub_Category,Brand
Home,Home_Essentials,AGARO
Home,Home_Essentials,Wipro
Home,Home_Essentials,Crompton
Home,Home_Essentials,Nature Protect
Home,Home_Essentials,Nivea
Home,Home_Essentials,Clorox
Home,Home_Essentials,C&S Electric
Home,Home_Essentials,StBotanica
Home,Home_Essentials,Dylon
Home,Home_Essentials,ECO365
Home,Home_Essentials,Faultless
Home,Home_Essentials,Wild Ideas
Home,Home_Essentials,Eveready
Home,Home_Essentials,Philips
Home,Home_Essentials,Liril
Home,Home_Essentials,Runaway
Home,Home_Essentials,Syska
Home,Home_Essentials,Goli Soda
Home,Home_Essentials,Colgate
Home,Home_Essentials,Dettol
Home,Home_Essentials,Corsafe Advance
Home,Home_Essentials,Godrej No.1
Home,Kitchen,Hawkins Futura
Home,Home_Essentials,Fuschia
Home,Home_Essentials,Jovees
Home,Kitchen,Omega
Home,Kitchen,Vinod
Home,Home_Essentials,PureCult
Home,Home_Essentials,Floroma
Home,Home_Essentials,Nippo
Home,Home_Essentials,Bajaj
Home,Home_Essentials,Medimix
Home,Home_Essentials,Mysore Sandal
Home,Home_Essentials,Weiman
Home,Kitchen,Prestige
Home,Home_Essentials,Pepsodent
Home,Home_Essentials,Excel Plus
Home,Kitchen,United
Home,Kitchen,HAZEL
Home,Home_Essentials,Chandrika
Home,Home_Essentials,Wc Net
Home,Home_Essentials,Himalaya
Home,Home_Essentials,Comfort
Home,Home_Essentials,Dr Batra's
Home,Kitchen,Le Kaviraj
Home,Home_Essentials,Maxkleen
Home,Home_Essentials,Stonesoup
Home,Home_Essentials,Dabur Vatika
Home,Home_Essentials,Neem
Home,Home_Essentials,Dabur
Home,Home_Essentials,Clove
Home,Home_Essentials,MyGlamm
Home,Home_Essentials,Domex
Home,Home_Essentials,Harpic
Home,Home_Essentials,Kiwi
Home,Home_Essentials,Sensodyne
Home,Home_Essentials,Nimwash
Home,Home_Essentials,Lizol
Home,Home_Essentials,Finish
Home,Home_Essentials,Pears
Home,Home_Essentials,Dove
Home,Home_Essentials,Godrej Protekt
Home,Kitchen,Casasunco
Home,Home_Essentials,Mr Muscle
Home,Home_Essentials,Colin
Home,Home_Essentials,Nimyle
Home,Home_Essentials,Bacto-V
Home,Home_Essentials,Tabac
Home,Home_Essentials,Hair4U
Home,Home_Essentials,Ajax
Home,Home_Essentials,Berger BreatheEasy
Home,Home_Essentials,Dr. Morepen
