Category,Sub_Category,Brand
Personal_Care,Makeup_Nails,Spinz
Personal_Care,Beauty,Singh Styled
Personal_Care,Vitamins_Supplements,Nutribears
Personal_Care,Makeup_Nails,Mud
Personal_Care,Beauty,Octus
Personal_Care,Beauty,Nirvana
Personal_Care,Beauty,T BASE
Personal_Care,Beauty,Airific
Personal_Care,Beauty,3BO
Personal_Care,Beauty,KNM
Personal_Care,Beauty,Verage
Personal_Care,Beauty,Care 4 All
Personal_Care,Beauty,Puma
Personal_Care,Beauty,Amante
Personal_Care,Beauty,The August Co.
Personal_Care,Beauty,SHAMROCK
Personal_Care,Beauty,Fairkraft Creations
Personal_Care,Beauty,Smiley-Quick Dry
Personal_Care,Beauty,Bonorganik
Personal_Care,Beauty,Ants-Duraprot
Personal_Care,Beauty,Kawach
Personal_Care,Beauty,109Â°F
Personal_Care,Makeup_Nails,Blue heaven
Personal_Care,Makeup_Nails,Maybelline New York
Personal_Care,Makeup_Nails,Cosmetics
Personal_Care,Makeup_Nails,Pony Effect
Personal_Care,Beauty,Ikkai
