,Brand,Category,Sub_Category
3095,Netflix,Subscriptions_Memberships,Entertainment
3096,Amazon Prime,Subscriptions_Memberships,Entertainment
3097,Hulu,Subscriptions_Memberships,Entertainment
3098,Spotify,Subscriptions_Memberships,Entertainment
3099,Apple Music,Subscriptions_Memberships,Entertainment
3100,YouTube Premium,Subscriptions_Memberships,Entertainment
3101,Microsoft Office 365,Subscriptions_Memberships,Entertainment
3102,Adobe Creative Cloud,Subscriptions_Memberships,Entertainment
3103,Dropbox,Subscriptions_Memberships,Entertainment
3104,Google One,Subscriptions_Memberships,Entertainment
3105,PlayStation Plus,Subscriptions_Memberships,Entertainment
3106,Xbox Game Pass Ultimate,Subscriptions_Memberships,Entertainment
3107,Nintendo Switch Online,Subscriptions_Memberships,Entertainment
3108,Disney+,Subscriptions_Memberships,Entertainment
3109,HBO Max,Subscriptions_Memberships,Entertainment
3110,ESPN+,Subscriptions_Memberships,Entertainment
3111,UFC Fight Pass,Subscriptions_Memberships,Entertainment
3112,WWE Network,Subscriptions_Memberships,Entertainment
3113,Discovery+,Subscriptions_Memberships,Entertainment
3114,CBS All Access/Paramount+,Subscriptions_Memberships,Entertainment
3115,Showtime,Subscriptions_Memberships,Entertainment
3116,Acorn TV,Subscriptions_Memberships,Entertainment
3117,BritBox,Subscriptions_Memberships,Entertainment
3118,Sling TV,Subscriptions_Memberships,Entertainment
3119,DirecTV Now,Subscriptions_Memberships,Entertainment
3120,FuboTV,Subscriptions_Memberships,Entertainment
3121,PlayStation Vue,Subscriptions_Memberships,Entertainment
3122,YouTube TV,Subscriptions_Memberships,Entertainment
3123,Audible,Subscriptions_Memberships,Entertainment
3124,NordVPN,Subscriptions_Memberships,Entertainment
3125,ExpressVPN,Subscriptions_Memberships,Entertainment
3126,Surfshark VPN,Subscriptions_Memberships,Entertainment
3127,GitHub Pro,Subscriptions_Memberships,Entertainment
3128,Google Cloud,Subscriptions_Memberships,Entertainment
3129,24 Hour Fitness,Subscriptions_Memberships,Gym
3130,LA Fitness,Subscriptions_Memberships,Gym
3131,Gold's Gym,Subscriptions_Memberships,Gym
3132,Planet Fitness,Subscriptions_Memberships,Gym
3133,Anytime Fitness,Subscriptions_Memberships,Gym
3134,Crunch Fitness,Subscriptions_Memberships,Gym
3135,YMCA,Subscriptions_Memberships,Gym
3136,Equinox,Subscriptions_Memberships,Gym
3137,SoulCycle,Subscriptions_Memberships,Gym
3138,Orangetheory Fitness,Subscriptions_Memberships,Gym
3139,Pure Barre,Subscriptions_Memberships,Gym
3140,Bar Method,Subscriptions_Memberships,Gym
3141,CorePower Yoga,Subscriptions_Memberships,Gym
3142,YogaWorks,Subscriptions_Memberships,Gym
3143,Lifetime Fitness,Subscriptions_Memberships,Gym
3144,Retro Fitness,Subscriptions_Memberships,Gym
3145,Bally Total Fitness,Subscriptions_Memberships,Gym
3146,Powerhouse Gym,Subscriptions_Memberships,Gym
3147,GoodLife Fitness,Subscriptions_Memberships,Gym
3148,Town Sports International,Subscriptions_Memberships,Gym
3149,Club Fitness,Subscriptions_Memberships,Gym
3150,Fit4Less,Subscriptions_Memberships,Gym
3151,Xperience Fitness,Subscriptions_Memberships,Gym
3152,Youfit Health Clubs,Subscriptions_Memberships,Gym
3153,Life Time Athletic,Subscriptions_Memberships,Gym
3154,Blink Fitness,Subscriptions_Memberships,Gym
3155,The Edge Fitness Clubs,Subscriptions_Memberships,Gym
3156,World Gym,Subscriptions_Memberships,Gym
3157,Fit Athletic Club,Subscriptions_Memberships,Gym
3158,My Gym,Subscriptions_Memberships,Gym
3159,UFC Gym,Subscriptions_Memberships,Gym
3160,In-Shape Health Clubs,Subscriptions_Memberships,Gym
3161,City Sports Club,Subscriptions_Memberships,Gym
3162,Gold's Gym SoCal,Subscriptions_Memberships,Gym
3163,Powerhouse Gym Athletics,Subscriptions_Memberships,Gym
3164,Gold's Gym Fitness Institutes,Subscriptions_Memberships,Gym
3165,Gold's Gym Express,Subscriptions_Memberships,Gym
3166,Fitness Connection,Subscriptions_Memberships,Gym
3167,Genesis Health Clubs,Subscriptions_Memberships,Gym
3168,The Rush Fitness Complex,Subscriptions_Memberships,Gym
3169,The Alaska Club,Subscriptions_Memberships,Gym
3170,VASA Fitness,Subscriptions_Memberships,Gym
3171,The Zoo Health Club,Subscriptions_Memberships,Gym
3172,New York Sports Clubs,Subscriptions_Memberships,Gym
3173,The Little Gym,Subscriptions_Memberships,Gym
3174,Results Fitness,Subscriptions_Memberships,Gym
3450,GOOGLE YOUTUBEPREMIUM,Subscriptions_Memberships,Entertainment
3459,Burst Oral Care,Subscriptions_Memberships,Subscriptions_Memberships
3463,Zybook College Txtbook Campbell CA,Subscriptions_Memberships,Subscriptions_Memberships
3468,Google Google Storage,Subscriptions_Memberships,Entertainment
3468,icloud,Subscriptions_Memberships,Entertainment
3469,Protonmail,Subscriptions_Memberships,Entertainment
