Brand,Category,Sub_Category
Cinemark,Travel/Entertainment,Movies_TV
BARNES & NOBLE,Travel/Entertainment,Books
Cinemark Theatres,Travel/Entertainment,Movies_TV
Dick's Sporting Goods,Travel/Entertainment,Sports_Outdoors
Bass Pro,Travel/Entertainment,Sports_Outdoors
Academy Sports,Travel/Entertainment,Sports_Outdoors
Camping World,Travel/Entertainment,Sports_Outdoors
Barnes & Noble,Travel/Entertainment,Books
Marriott,Travel/Entertainment,Hotels
Hilton,Travel/Entertainment,Hotels
InterContinental,Travel/Entertainment,Hotels
Choice Hotels,Travel/Entertainment,Hotels
Wyndham Hotels & Resorts,Travel/Entertainment,Hotels
Best Western,Travel/Entertainment,Hotels
Hyatt Hotels,Travel/Entertainment,Hotels
AccorHotels,Travel/Entertainment,Hotels
Four Seasons Hotels and Resorts,Travel/Entertainment,Hotels
Mandarin Oriental,Travel/Entertainment,Hotels
Rosewood Hotels & Resorts,Travel/Entertainment,Hotels
Omni Hotels & Resorts,Travel/Entertainment,Hotels
Loews Hotels & Co.,Travel/Entertainment,Hotels
Kimpton Hotels & Restaurants,Travel/Entertainment,Hotels
Fairmont Hotels & Resorts,Travel/Entertainment,Hotels
Ritz-Carlton,Travel/Entertainment,Hotels
Waldorf Astoria Hotels & Resorts,Travel/Entertainment,Hotels
St. Regis Hotels & Resorts,Travel/Entertainment,Hotels
Sheraton Hotels & Resorts,Travel/Entertainment,Hotels
Westin Hotels & Resorts,Travel/Entertainment,Hotels
W Hotels Worldwide,Travel/Entertainment,Hotels
Aloft Hotels,Travel/Entertainment,Hotels
Element Hotels,Travel/Entertainment,Hotels
Tribute Portfolio,Travel/Entertainment,Hotels
Luxury Collection,Travel/Entertainment,Hotels
Renaissance Hotels,Travel/Entertainment,Hotels
Courtyard by Marriott,Travel/Entertainment,Hotels
Fairfield Inn & Suites by Marriott,Travel/Entertainment,Hotels
SpringHill Suites by Marriott,Travel/Entertainment,Hotels
TownePlace Suites by Marriott,Travel/Entertainment,Hotels
Residence Inn by Marriott,Travel/Entertainment,Hotels
AC Hotels by Marriott,Travel/Entertainment,Hotels
Moxy Hotels,Travel/Entertainment,Hotels
Hilton Garden Inn,Travel/Entertainment,Hotels
DoubleTree by Hilton,Travel/Entertainment,Hotels
Hampton Inn & Suites by Hilton,Travel/Entertainment,Hotels
Homewood Suites by Hilton,Travel/Entertainment,Hotels
Home2 Suites by Hilton,Travel/Entertainment,Hotels
Conrad Hotels & Resorts,Travel/Entertainment,Hotels
Canopy by Hilton,Travel/Entertainment,Hotels
Tru by Hilton,Travel/Entertainment,Hotels
Tapestry Collection by Hilton,Travel/Entertainment,Hotels
Curio Collection by Hilton,Travel/Entertainment,Hotels
Embassy Suites by Hilton,Travel/Entertainment,Hotels
Motel 6,Travel/Entertainment,Hotels
Red Roof Inn,Travel/Entertainment,Hotels
Super 8,Travel/Entertainment,Hotels
Days Inn,Travel/Entertainment,Hotels
Howard Johnson,Travel/Entertainment,Hotels
Ramada,Travel/Entertainment,Hotels
Travelodge,Travel/Entertainment,Hotels
Econo Lodge,Travel/Entertainment,Hotels
Comfort Inn,Travel/Entertainment,Hotels
Quality Inn,Travel/Entertainment,Hotels
Sleep Inn,Travel/Entertainment,Hotels
Clarion Hotel,Travel/Entertainment,Hotels
Cambria Hotels & Suites,Travel/Entertainment,Hotels
Ascend Hotel Collection,Travel/Entertainment,Hotels
Rodeway Inn,Travel/Entertainment,Hotels
MainStay Suites,Travel/Entertainment,Hotels
Suburban Extended Stay Hotel,Travel/Entertainment,Hotels
Best Western Plus,Travel/Entertainment,Hotels
Best Western Premier,Travel/Entertainment,Hotels
Best Western Signature Collection,Travel/Entertainment,Hotels
Best Western Plus Executive Residency,Travel/Entertainment,Hotels
Holiday Inn,Travel/Entertainment,Hotels
Holiday Inn Express,Travel/Entertainment,Hotels
Crowne Plaza,Travel/Entertainment,Hotels
Staybridge Suites,Travel/Entertainment,Hotels
Candlewood Suites,Travel/Entertainment,Hotels
InterContinental Alliance Resorts,Travel/Entertainment,Hotels
InterContinental Residences Suites,Travel/Entertainment,Hotels
InterContinental Hotels & Resorts,Travel/Entertainment,Hotels
EVEN Hotels,Travel/Entertainment,Hotels
Avid Hotels,Travel/Entertainment,Hotels
Kimpton Hotels,Travel/Entertainment,Hotels
Kimpton Hotel Monaco,Travel/Entertainment,Hotels
Kimpton Hotel Palomar,Travel/Entertainment,Hotels
Kimpton Hotel Van Zandt,Travel/Entertainment,Hotels
Kimpton Hotel Eventi,Travel/Entertainment,Hotels
Kimpton Hotel Born,Travel/Entertainment,Hotels
Kimpton Hotel Allegro,Travel/Entertainment,Hotels
Kimpton Hotel Monaco Chicago,Travel/Entertainment,Hotels
Kimpton Hotel Vintage Portland,Travel/Entertainment,Hotels
Kimpton Alexis Hotel,Travel/Entertainment,Hotels
Kimpton Goodland,Travel/Entertainment,Hotels
Fairmont,Travel/Entertainment,Hotels
Raffles Hotels & Resorts,Travel/Entertainment,Hotels
Swissotel Hotels & Resorts,Travel/Entertainment,Hotels
Sofitel,Travel/Entertainment,Hotels
Novotel,Travel/Entertainment,Hotels
Pullman Hotels & Resorts,Travel/Entertainment,Hotels
MGallery by Sofitel,Travel/Entertainment,Hotels
Ibis,Travel/Entertainment,Hotels
Mercure,Travel/Entertainment,Hotels
Grand Mercure,Travel/Entertainment,Hotels
ibis Styles,Travel/Entertainment,Hotels
Adagio,Travel/Entertainment,Hotels
Adagio Access,Travel/Entertainment,Hotels
Fairmont Grand Del Mar,Travel/Entertainment,Hotels
Fairmont San Francisco,Travel/Entertainment,Hotels
Fairmont Olympic Hotel,Travel/Entertainment,Hotels
Fairmont Copley Plaza,Travel/Entertainment,Hotels
Fairmont Banff Springs,Travel/Entertainment,Hotels
Fairmont Le Ch�teau Frontenac,Travel/Entertainment,Hotels
Fairmont Jasper Park Lodge,Travel/Entertainment,Hotels
Raffles Grand Hotel d'Angkor,Travel/Entertainment,Hotels
Raffles Hotel Singapore,Travel/Entertainment,Hotels
Raffles Dubai,Travel/Entertainment,Hotels
Swissotel Chicago,Travel/Entertainment,Hotels
Swissotel Sydney,Travel/Entertainment,Hotels
Sofitel Los Angeles at Beverly Hills,Travel/Entertainment,Hotels
Sofitel Washington DC Lafayette Square,Travel/Entertainment,Hotels
Novotel New York Times Square,Travel/Entertainment,Hotels
Pullman Paris Eiffel Tower,Travel/Entertainment,Hotels
MGallery by Sofitel Sydney,Travel/Entertainment,Hotels
Ibis Styles Paris Gare du Nord TGV,Travel/Entertainment,Hotels
Mercure Paris Centre Tour Eiffel,Travel/Entertainment,Hotels
Grand Mercure Singapore Roxy,Travel/Entertainment,Hotels
Adagio Paris Bercy Village,Travel/Entertainment,Hotels
Adagio Access Paris La Villette,Travel/Entertainment,Hotels
Alaska Airlines,Travel/Entertainment,Flights
Allegiant Air,Travel/Entertainment,Flights
American Airlines,Travel/Entertainment,Flights
Delta Air Lines,Travel/Entertainment,Flights
Frontier Airlines,Travel/Entertainment,Flights
Hawaiian Airlines,Travel/Entertainment,Flights
JetBlue Airways,Travel/Entertainment,Flights
Southwest Airlines,Travel/Entertainment,Flights
Spirit Airlines,Travel/Entertainment,Flights
United Airlines,Travel/Entertainment,Flights
Air Choice One,Travel/Entertainment,Flights
Boutique Air,Travel/Entertainment,Flights
Cape Air,Travel/Entertainment,Flights
Contour Airlines,Travel/Entertainment,Flights
Eastern Airlines,Travel/Entertainment,Flights
Elite Airways,Travel/Entertainment,Flights
Envoy Air,Travel/Entertainment,Flights
ExpressJet,Travel/Entertainment,Flights
GoJet Airlines,Travel/Entertainment,Flights
Mesa Airlines,Travel/Entertainment,Flights
National Airlines,Travel/Entertainment,Flights
Omni Air International,Travel/Entertainment,Flights
Piedmont Airlines,Travel/Entertainment,Flights
PSA Airlines,Travel/Entertainment,Flights
Ravn Alaska,Travel/Entertainment,Flights
Republic Airways,Travel/Entertainment,Flights
Silver Airways,Travel/Entertainment,Flights
SkyWest Airlines,Travel/Entertainment,Flights
Southern Airways Express,Travel/Entertainment,Flights
Sun Country Airlines,Travel/Entertainment,Flights
Swift Air,Travel/Entertainment,Flights
Ultimate Air Shuttle,Travel/Entertainment,Flights
Via Airlines,Travel/Entertainment,Flights
Virgin America,Travel/Entertainment,Flights
Xtra Airways,Travel/Entertainment,Flights
Avis,Travel/Entertainment,Car_Rental
Budget,Travel/Entertainment,Car_Rental
Enterprise Rent-A-Car,Travel/Entertainment,Car_Rental
Hertz,Travel/Entertainment,Car_Rental
National Car Rental,Travel/Entertainment,Car_Rental
Alamo Rent A Car,Travel/Entertainment,Car_Rental
Thrifty Car Rental,Travel/Entertainment,Car_Rental
Dollar Rent A Car,Travel/Entertainment,Car_Rental
Sixt Rent A Car,Travel/Entertainment,Car_Rental
Advantage Rent A Car,Travel/Entertainment,Car_Rental
Payless Car Rental,Travel/Entertainment,Car_Rental
Europcar,Travel/Entertainment,Car_Rental
Fox Rent A Car,Travel/Entertainment,Car_Rental
E-Z Rent-A-Car,Travel/Entertainment,Car_Rental
Rent-A-Wreck,Travel/Entertainment,Car_Rental
ACE Rent A Car,Travel/Entertainment,Car_Rental
Silvercar by Audi,Travel/Entertainment,Car_Rental
CarRentals.com,Travel/Entertainment,Car_Rental
Expedia,Travel/Entertainment,Car_Rental
Hotwire,Travel/Entertainment,Car_Rental
Orbitz,Travel/Entertainment,Car_Rental
Priceline,Travel/Entertainment,Car_Rental
Travelocity,Travel/Entertainment,Car_Rental
Auto Europe,Travel/Entertainment,Car_Rental
CheapOair,Travel/Entertainment,Car_Rental
CarRentalsavers.com,Travel/Entertainment,Car_Rental
Rentalcars.com,Travel/Entertainment,Car_Rental
AutoSlash,Travel/Entertainment,Car_Rental
Car Rental 8,Travel/Entertainment,Car_Rental
DriveNow,Travel/Entertainment,Car_Rental
Enterprise CarShare,Travel/Entertainment,Car_Rental
Zipcar,Travel/Entertainment,Car_Rental
Turo,Travel/Entertainment,Car_Rental
Car2Go,Travel/Entertainment,Car_Rental
Maven Car Sharing,Travel/Entertainment,Car_Rental
Getaround,Travel/Entertainment,Car_Rental
Hourcar,Travel/Entertainment,Car_Rental
Uhaul Car Share,Travel/Entertainment,Car_Rental
Car Next Door,Travel/Entertainment,Car_Rental
Avis Car Rental,Travel/Entertainment,Car_Rental
Budget Car Rental,Travel/Entertainment,Car_Rental
Budget Truck Rental,Travel/Entertainment,Car_Rental
Enterprise Truck Rental,Travel/Entertainment,Car_Rental
