Brand,Category,Sub_Category
Fastrack,Travel/Entertainment,Tolls
TRANSURBAN,Travel/Entertainment,Tolls
SALIK,Travel/Entertainment,Tolls
ATLAS ARTERIA,Travel/Entertainment,Tolls
JASA MARGA,Travel/Entertainment,Tolls
CROSS-HARBOUR HOLDINGS,Travel/Entertainment,Tolls
KAPSCH TRAFFICCOM,Travel/Entertainment,Tolls
THALES,Travel/Entertainment,Tolls
TRANSCORE,Travel/Entertainment,Tolls
SIEMENS,Travel/Entertainment,Tolls
TRMI SYSTEMS,Travel/Entertainment,Tolls
MAGNETIC AUTOCONTROL,Travel/Entertainment,Tolls
MITSUBISHI HEAVY,Travel/Entertainment,Tolls
NEDAP NV,Travel/Entertainment,Tolls
E-ZPASS,Travel/Entertainment,Tolls
MTA BRIDGES & TUNNELS,Travel/Entertainment,Tolls
PANYNJ TOLLS,Travel/Entertainment,Tolls
NJ TURNPIKE AUTH,Travel/Entertainment,Tolls
BAY AREA TOLL AUTH,Travel/Entertainment,Tolls
PA TURNPIKE COMM,Travel/Entertainment,Tolls
ILLINOIS TOLLWAY,Travel/Entertainment,Tolls
VINCI AUTOROUTES,Travel/Entertainment,Tolls
FERROVIAL,Travel/Entertainment,Tolls
ASTM,Travel/Entertainment,Tolls
EIFFAGE,Travel/Entertainment,Tolls
ABERTIS,Travel/Entertainment,Tolls
GRUPO COSTANERA,Travel/Entertainment,Tolls
CCR,Travel/Entertainment,Tolls
CCCC,Travel/Entertainment,Tolls
ROAD KING,Travel/Entertainment,Tolls
MACQUARIE ROADS,Travel/Entertainment,Tolls
BROOKFIELD INFRA,Travel/Entertainment,Tolls
SANEF,Travel/Entertainment,Tolls
AUTOSTRADE,Travel/Entertainment,Tolls
NHAI,Travel/Entertainment,Tolls
ADM,Travel/Entertainment,Tolls
BRISA,Travel/Entertainment,Tolls
NTTA,Travel/Entertainment,Tolls
FLORIDA TURNPIKE,Travel/Entertainment,Tolls
OHIO TURNPIKE,Travel/Entertainment,Tolls
INDIANA TOLL ROAD,Travel/Entertainment,Tolls
