Brand,Category,Sub_Category
Apple,Utilities,Phone
Mint Mobile,Utilities,Phone
AT&T,Utilities,Phone
Verizon,Utilities,Phone
T-Mobile,Utilities,Phone
Sprint,Utilities,Phone
Cricket Wireless,Utilities,Phone
Boost Mobile,Utilities,Phone
Metro by T-Mobile,Utilities,Phone
US Cellular,Utilities,Phone
TracFone,Utilities,Phone
Straight Talk,Utilities,Phone
Consumer Cellular,Utilities,Phone
Republic Wireless,Utilities,Phone
Ting,Utilities,Phone
Google Fi,Utilities,Phone
Xfinity Mobile,Utilities,Phone
Mint Mobile,Utilities,Phone
H2O Wireless,Utilities,Phone
Simple Mobile,Utilities,Phone
Total Wireless,Utilities,Phone
Visible Wireless,Utilities,Phone
Duke Energy,Utilities,Gas_Power
Exelon Corporation,Utilities,Gas_Power
NextEra Energy,Utilities,Gas_Power
American Electric Power (AEP),Utilities,Gas_Power
Southern Company,Utilities,Gas_Power
Dominion Energy,Utilities,Gas_Power
Xcel Energy,Utilities,Gas_Power
Entergy,Utilities,Gas_Power
PPL Corporation,Utilities,Gas_Power
DTE Energy,Utilities,Gas_Power
National Grid,Utilities,Gas_Power
Eversource Energy,Utilities,Gas_Power
FirstEnergy,Utilities,Gas_Power
CenterPoint Energy,Utilities,Gas_Power
Public Service Enterprise Group (PSEG),Utilities,Gas_Power
Consolidated Edison,Utilities,Gas_Power
PacifiCorp,Utilities,Gas_Power
Avangrid,Utilities,Gas_Power
NV Energy,Utilities,Gas_Power
OGE Energy,Utilities,Gas_Power
Ameren Corporation,Utilities,Gas_Power
Alliant Energy,Utilities,Gas_Power
Black Hills Energy,Utilities,Gas_Power
The AES Corporation,Utilities,Gas_Power
Evergy,Utilities,Gas_Power
Edison International,Utilities,Gas_Power
El Paso Electric,Utilities,Gas_Power
Gulf Power,Utilities,Gas_Power
Idaho Power,Utilities,Gas_Power
LG&E and KU Energy,Utilities,Gas_Power
MidAmerican Energy Company,Utilities,Gas_Power
National Fuel Gas Company,Utilities,Gas_Power
New Jersey Resources,Utilities,Gas_Power
New York State Electric & Gas Corporation (NYSEG),Utilities,Gas_Power
NiSource,Utilities,Gas_Power
NorthWestern Energy,Utilities,Gas_Power
One Gas,Utilities,Gas_Power
Otter Tail Power Company,Utilities,Gas_Power
Peoples Gas,Utilities,Gas_Power
Piedmont Natural Gas,Utilities,Gas_Power
Portland General Electric (PGE),Utilities,Gas_Power
Puget Sound Energy (PSE),Utilities,Gas_Power
Sempra Energy,Utilities,Gas_Power
Southwest Gas Corporation,Utilities,Gas_Power
Spire Inc.,Utilities,Gas_Power
Unitil Corporation,Utilities,Gas_Power
UGI Corporation,Utilities,Gas_Power
UniSource Energy Services,Utilities,Gas_Power
WEC Energy Group,Utilities,Gas_Power
Wisconsin Public Service Corporation,Utilities,Gas_Power
Aqua America,Utilities,Water
American Water,Utilities,Water
California Water Service,Utilities,Water
Pennsylvania American Water,Utilities,Water
New Jersey American Water,Utilities,Water
Illinois American Water,Utilities,Water
Connecticut Water,Utilities,Water
Massachusetts American Water,Utilities,Water
Virginia American Water,Utilities,Water
Indiana American Water,Utilities,Water
Iowa American Water,Utilities,Water
Kentucky American Water,Utilities,Water
Maine Water,Utilities,Water
Maryland American Water,Utilities,Water
Michigan American Water,Utilities,Water
Missouri American Water,Utilities,Water
New Mexico Water Service,Utilities,Water
Ohio American Water,Utilities,Water
Tennessee American Water,Utilities,Water
West Virginia American Water,Utilities,Water
Arizona American Water,Utilities,Water
Hawaii Water Service,Utilities,Water
Washington Water Service,Utilities,Water
Suez Water,Utilities,Water
Utilities Inc.,Utilities,Water
San Jose Water,Utilities,Water
San Francisco Public Utilities Commission,Utilities,Water
Central Arkansas Water,Utilities,Water
Charleston Water System,Utilities,Water
Charlotte Water,Utilities,Water
Citizens Energy Group,Utilities,Water
Denver Water,Utilities,Water
EBMUD,Utilities,Water
El Paso Water,Utilities,Water
Fairfax Water,Utilities,Water
Houston Water,Utilities,Water
Kansas City Water Services,Utilities,Water
Las Vegas Valley Water District,Utilities,Water
Louisville Water,Utilities,Water
Metropolitan Water District of Southern California,Utilities,Water
Comcast Xfinity,Utilities,Internet
AT&T Home Internet,Utilities,Internet
Charter Spectrum,Utilities,Internet
Verizon Fios,Utilities,Internet
Cox Communications,Utilities,Internet
CenturyLink,Utilities,Internet
Google Fiber,Utilities,Internet
Windstream,Utilities,Internet
Frontier Communications,Utilities,Internet
HughesNet,Utilities,Internet
Mediacom,Utilities,Internet
Viasat,Utilities,Internet
Suddenlink Communications,Utilities,Internet
Cincinnati Bell,Utilities,Internet
RCN,Utilities,Internet
Cable One,Utilities,Internet
Optimum,Utilities,Internet
Wave Broadband,Utilities,Internet
EPB Fiber Optics,Utilities,Internet
Consolidated Communications,Utilities,Internet
MetroNet,Utilities,Internet
Atlantic Broadband,Utilities,Internet
TDS Telecom,Utilities,Internet
