,city,state_id,state_name,state_name_id
0,New York,NY,New York,New York NY
1,Los Angeles,CA,California,Los Angeles CA
2,Chicago,IL,Illinois,Chicago IL
3,Miami,FL,Florida,Miami FL
4,Dallas,TX,Texas,Dallas TX
5,Philadelphia,PA,Pennsylvania,Philadelphia PA
6,Houston,TX,Texas,Houston TX
7,Atlanta,GA,Georgia,Atlanta GA
8,Washington,DC,District of Columbia,Washington DC
9,Boston,MA,Massachusetts,Boston MA
10,Phoenix,AZ,Arizona,Phoenix AZ
11,Seattle,WA,Washington,Seattle WA
12,San Francisco,CA,California,San Francisco CA
13,Detroit,MI,Michigan,Detroit MI
14,San Diego,CA,California,San Diego CA
15,Minneapolis,MN,Minnesota,Minneapolis MN
16,Tampa,FL,Florida,Tampa FL
17,Denver,CO,Colorado,Denver CO
18,Brooklyn,NY,New York,Brooklyn NY
19,Queens,NY,New York,Queens NY
20,Riverside,CA,California,Riverside CA
21,Baltimore,MD,Maryland,Baltimore MD
22,Las Vegas,NV,Nevada,Las Vegas NV
23,Portland,OR,Oregon,Portland OR
24,San Antonio,TX,Texas,San Antonio TX
25,St. Louis,MO,Missouri,St. Louis MO
26,Sacramento,CA,California,Sacramento CA
27,Orlando,FL,Florida,Orlando FL
28,San Jose,CA,California,San Jose CA
29,Cleveland,OH,Ohio,Cleveland OH
30,Pittsburgh,PA,Pennsylvania,Pittsburgh PA
31,Austin,TX,Texas,Austin TX
32,Cincinnati,OH,Ohio,Cincinnati OH
33,Kansas City,MO,Missouri,Kansas City MO
34,Manhattan,NY,New York,Manhattan NY
35,Indianapolis,IN,Indiana,Indianapolis IN
36,Columbus,OH,Ohio,Columbus OH
37,Charlotte,NC,North Carolina,Charlotte NC
38,Virginia Beach,VA,Virginia,Virginia Beach VA
39,Bronx,NY,New York,Bronx NY
40,Milwaukee,WI,Wisconsin,Milwaukee WI
41,Providence,RI,Rhode Island,Providence RI
42,Jacksonville,FL,Florida,Jacksonville FL
43,Salt Lake City,UT,Utah,Salt Lake City UT
44,Nashville,TN,Tennessee,Nashville TN
45,Richmond,VA,Virginia,Richmond VA
