,Unnamed: 0,Given category,Given sub_category,Category,Sub_Category,brand,type
7,7,Beauty & Hygiene,Fragrances & Deos,,,Paco Rabanne,Eau De Parfum
15,16,Beauty & Hygiene,Skin Care,,,BodyHerbals,Face Care
22,24,Beauty & Hygiene,Hair Care,,,Godrej Anoop,Hair Oil & Serum
43,57,Beauty & Hygiene,Feminine Hygiene,,,Plush,Intimate Wash & Care
45,59,Cleaning & Household,Fresheners & Repellents,,,Good knight,Mosquito Repellent
50,68,Beauty & Hygiene,Feminine Hygiene,,,Peesafe,Sanitary Napkins
52,72,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Health Potion,Pet Meals & Treats
56,79,Beauty & Hygiene,Hair Care,,,Mamaearth,Hair Oil & Serum
66,95,Beauty & Hygiene,Health & Medicine,,,BTN Sports,Supplements & Proteins
67,96,Beauty & Hygiene,Health & Medicine,,,IN2,Supplements & Proteins
70,102,Beauty & Hygiene,Fragrances & Deos,,,Ajmal,Attar
78,114,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,Wai Wai,Instant Noodles
85,124,Cleaning & Household,Pooja Needs,,,Liberty,"Agarbatti, Incense Sticks"
86,125,Beauty & Hygiene,Fragrances & Deos,,,Guess,Eau De Toilette
88,128,"Kitchen, Garden & Pets",Storage & Accessories,,,Fendo,Umbrella
117,192,Beauty & Hygiene,Bath & Hand Wash,,,Dr Rhazes,Hand Wash & Sanitizers
120,200,Beauty & Hygiene,Skin Care,,,Bronson Professional,Face Care
121,201,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,MAGGI ,Instant Noodles
122,202,"Kitchen, Garden & Pets",Appliances & Electricals,,,Milltec,Battery & Electrical
125,206,Beauty & Hygiene,Health & Medicine,,,Seni,Adult Diapers
127,209,Beauty & Hygiene,Skin Care,,,Astaberry,Face Care
128,210,Beauty & Hygiene,Skin Care,,,Joy,Face Care
129,211,Beauty & Hygiene,Skin Care,,,The Moms Co,Body Care
132,223,Beauty & Hygiene,Men's Grooming,,,Cinthol,Moustache & Beard Care
134,228,Beauty & Hygiene,Men's Grooming,,,Set Wet,Hair Care & Styling
139,238,Cleaning & Household,Fresheners & Repellents,,,Mortein,Insect Repellent
147,255,Beauty & Hygiene,Bath & Hand Wash,,,Panache,Bathing Accessories
155,286,Baby Care,Feeding & Nursing,,,Chicco,Baby Dishes & Utensils
158,291,Beauty & Hygiene,Skin Care,,,Botanica,Face Care
166,303,Beauty & Hygiene,Skin Care,,,Vlcc,Face Care
169,307,Beauty & Hygiene,Skin Care,,,Organic Harvest,Face Care
170,308,Beauty & Hygiene,Hair Care,,,Kaiv,Tools & Accessories
172,310,Beauty & Hygiene,Bath & Hand Wash,,,Aroma Magic ,Shower Gel & Body Wash
173,314,Beauty & Hygiene,Skin Care,,,Nutrinorm,Face Care
174,315,Beauty & Hygiene,Men's Grooming,,,Red Hunt,Bath & Shower
176,318,Cleaning & Household,Stationery,,,Stationari+,"Notebooks, Files, Folders"
188,336,Cleaning & Household,Pooja Needs,,,Shalimar,"Agarbatti, Incense Sticks"
190,339,"Kitchen, Garden & Pets",Kitchen Accessories,,,Fackelmann,Choppers & Graters
191,340,Beauty & Hygiene,Skin Care,,,It's Skin,Face Care
192,342,Beverages,"Health Drink, Supplement",,,Bournvita,Kids (5+Yrs)
197,347,Cleaning & Household,Stationery,,,Paperkraft,"Notebooks, Files, Folders"
203,366,Beauty & Hygiene,Skin Care,,,Kaya Clinic,Face Care
219,387,Beauty & Hygiene,Men's Grooming,,,Spruce Shave Club,Shaving Care
223,394,Cleaning & Household,Stationery,,,Kaadoo,Games & Calculators
224,395,Beauty & Hygiene,Hair Care,,,Loreal Paris,Shampoo & Conditioner
227,400,Cleaning & Household,Stationery,,,Nataraj,Erasers & Sharpeners
230,407,Beauty & Hygiene,Men's Grooming,,,Gillette,Shaving Care
