,Description,Category,Sub_Category
244,Nintendo,Electronics,Gaming
245,Sony PlayStation,Electronics,Gaming
246,Microsoft Xbox,Electronics,Gaming
247,EA (Electronic Arts),Electronics,Gaming
248,Activision Blizzard,Electronics,Gaming
249,Ubisoft,Electronics,Gaming
250,Rockstar Games,Electronics,Gaming
251,Valve Corporation,Electronics,Gaming
252,Bethesda Softworks,Electronics,Gaming
253,Square Enix,Electronics,Gaming
254,Konami,Electronics,Gaming
255,Capcom,Electronics,Gaming
256,Bandai Namco,Electronics,Gaming
257,Sega,Electronics,Gaming
258,2K Games,Electronics,Gaming
259,Epic Games,Electronics,Gaming
260,Riot Games,Electronics,Gaming
261,CD Projekt,Electronics,Gaming
262,Telltale Games,Electronics,Gaming
263,BioWare,Electronics,Gaming
1070,Bose SoundLink Mini II,Electronics,Sound
1071,Sonos One,Electronics,Sound
1072,JBL Flip 4,Electronics,Sound
1073,Ultimate Ears Wonderboom 2,Electronics,Sound
1074,Amazon Echo (3rd Gen),Electronics,Sound
1075,Sony SRS-XB12,Electronics,Sound
1076,Ultimate Ears Boom 3,Electronics,Sound
1077,Bose SoundLink Revolve,Electronics,Sound
1078,Sonos Move,Electronics,Sound
1079,JBL Charge 4,Electronics,Sound
1080,Bose SoundLink Color II,Electronics,Sound
1081,Google Nest Mini (2nd Gen),Electronics,Sound
1082,Anker Soundcore 2,Electronics,Sound
1083,JBL Flip 5,Electronics,Sound
1084,Ultimate Ears Megaboom 3,Electronics,Sound
1085,Bose Home Speaker 500,Electronics,Sound
1086,Amazon Echo Dot (3rd Gen),Electronics,Sound
1087,Ultimate Ears Blast,Electronics,Sound
1088,Sony SRS-XB01,Electronics,Sound
1089,JBL Xtreme 2,Electronics,Sound
1090,Bose SoundTouch 10,Electronics,Sound
1091,Google Home Mini,Electronics,Sound
1092,Bose SoundLink Micro,Electronics,Sound
1093,Amazon Echo Plus (2nd Gen),Electronics,Sound
1094,JBL Link 20,Electronics,Sound
1095,Marshall Kilburn II,Electronics,Sound
1096,Ultimate Ears Roll 2,Electronics,Sound
1097,Bose SoundTouch 20,Electronics,Sound
1098,Sony SRS-XB31,Electronics,Sound
1099,Amazon Echo Show 8,Electronics,Sound
1100,JBL Pulse 3,Electronics,Sound
1101,Bose SoundLink Revolve+,Electronics,Sound
1102,Harman Kardon Onyx Studio 4,Electronics,Sound
1103,Google Nest Hub,Electronics,Sound
1104,Ultimate Ears Megablast,Electronics,Sound
1105,Bose Home Speaker 300,Electronics,Sound
1106,Sonos Play:1,Electronics,Sound
1107,Amazon Echo Spot,Electronics,Sound
1108,JBL Charge 3,Electronics,Sound
1109,Bose SoundTouch 30,Electronics,Sound
1110,Sonos Beam,Electronics,Sound
1111,Google Home,Electronics,Sound
1112,Sony SRS-XB21,Electronics,Sound
1113,Bose SoundTouch 300,Electronics,Sound
1114,JBL Flip 3,Electronics,Sound
1115,Amazon Echo Studio,Electronics,Sound
1116,Sonos Play:5,Electronics,Sound
1117,Ultimate Ears Boom 2,Electronics,Sound
1118,Marshall Stockwell II,Electronics,Sound
1119,Bose SoundLink Revolve+ (with charging dock),Electronics,Sound
1120,Sony SRS-X9,Electronics,Sound
1121,Amazon Echo Dot with Clock (3rd Gen),Electronics,Sound
1122,Sonos Playbar,Electronics,Sound
1123,Ultimate Ears Roll,Electronics,Sound
1124,JBL Link 10,Electronics,Sound
1125,Bose SoundTouch 130,Electronics,Sound
1126,Amazon Echo Dot Kids Edition,Electronics,Sound
1127,Sony SRS-XB41,Electronics,Sound
1128,JBL Xtreme,Electronics,Sound
1129,Bose SoundTouch 520,Electronics,Sound
1130,Ultimate Ears Boom,Electronics,Sound
1131,Bose SoundTouch 300 + Acoustimass 300,Electronics,Sound
1132,Sonos Playbase,Electronics,Sound
1133,JBL Pulse 2,Electronics,Sound
1134,Amazon Echo Show 5,Electronics,Sound
1135,Sonos Play:3,Electronics,Sound
1136,Ultimate Ears Megaboom,Electronics,Sound
1137,JBL Link 300,Electronics,Sound
1138,Bose SoundTouch 20 Series III,Electronics,Sound
1139,Google Nest Audio,Electronics,Sound
1140,Sony SRS-X5,Electronics,Sound
1141,Amazon Echo Flex,Electronics,Sound
1142,JBL Link 500,Electronics,Sound
1143,Bose SoundTouch SA-5,Electronics,Sound
1144,Bose SoundTouch 30 Series III,Electronics,Sound
1145,Harman Kardon Go + Play Mini,Electronics,Sound
1146,Sonos Play:1 (with wall mount),Electronics,Sound
1147,JBL Control X Indoor/Outdoor Speakers,Electronics,Sound
1148,Google Home Max,Electronics,Sound
1149,Sony SRS-X88,Electronics,Sound
1150,Bose SoundTouch 300 + Acoustimass 300 + Virtually Invisible 300,Electronics,Sound
1151,Marshall Acton II,Electronics,Sound
1152,JBL Studio 530,Electronics,Sound
1153,Ultimate Ears Megaboom 3 (with charging dock),Electronics,Sound
1154,Amazon Echo Look,Electronics,Sound
1155,Sonos Connect:Amp,Electronics,Sound
1156,Bose SoundTouch 300 + Acoustimass 300 + Virtually Invisible 300 (with stands),Electronics,Sound
1157,Google Home Hub,Electronics,Sound
1158,JBL Link 20 Voice-Activated Speaker,Electronics,Sound
1159,Bose SoundTouch 10 (with wall mount),Electronics,Sound
1160,Sonos Amp,Electronics,Sound
1161,Amazon Echo Auto,Electronics,Sound
1162,Sony SRS-X99,Electronics,Sound
1163,JBL LSR305,Electronics,Sound
1164,Intel Core i9-11900K Processor,Electronics,Computer
1165,AMD Ryzen 9 5900X Processor,Electronics,Computer
1166,Intel Core i7-11700K Processor,Electronics,Computer
1167,AMD Ryzen 7 5800X Processor,Electronics,Computer
1168,NVIDIA GeForce RTX 3080 Graphics Card,Electronics,Computer
1169,AMD Radeon RX 6800 XT Graphics Card,Electronics,Computer
1170,ASUS TUF Gaming X570-PRO Motherboard,Electronics,Computer
1171,G.SKILL Ripjaws V 16GB DDR4-3200 RAM,Electronics,Computer
1172,Samsung 970 EVO Plus 1TB SSD,Electronics,Computer
1173,Corsair H100i RGB Platinum SE Liquid CPU Cooler,Electronics,Computer
1174,ASUS ROG Strix X570-E Gaming Motherboard,Electronics,Computer
1175,Kingston HyperX Fury 16GB DDR4-3200 RAM,Electronics,Computer
1176,Western Digital Black SN750 1TB SSD,Electronics,Computer
1177,Noctua NH-D15 Chromax.Black CPU Cooler,Electronics,Computer
1178,MSI MPG B550 Gaming Edge WiFi Motherboard,Electronics,Computer
1179,Corsair Vengeance LPX 16GB DDR4-3200 RAM,Electronics,Computer
1180,Seagate FireCuda 520 1TB SSD,Electronics,Computer
1181,be quiet! Dark Rock Pro 4 CPU Cooler,Electronics,Computer
1182,Gigabyte AORUS X570 Master Motherboard,Electronics,Computer
1183,Crucial Ballistix 16GB DDR4-3200 RAM,Electronics,Computer
1184,Samsung 970 PRO 1TB SSD,Electronics,Computer
1185,Cooler Master Hyper 212 RGB Black Edition CPU Cooler,Electronics,Computer
1186,ASUS ROG Strix B550-F Gaming WiFi Motherboard,Electronics,Computer
1187,Patriot Viper 4 16GB DDR4-3200 RAM,Electronics,Computer
1188,Western Digital Blue SN550 1TB SSD,Electronics,Computer
1189,be quiet! Pure Rock 2 Black CPU Cooler,Electronics,Computer
1190,ASRock X570 Taichi Motherboard,Electronics,Computer
1191,Corsair Dominator Platinum RGB 16GB DDR4-3200 RAM,Electronics,Computer
1192,Crucial MX500 1TB SSD,Electronics,Computer
1193,NZXT Kraken X73 RGB Liquid CPU Cooler,Electronics,Computer
1194,MSI MPG B550 Gaming Plus Motherboard,Electronics,Computer
1195,Corsair Vengeance RGB Pro 16GB DDR4-3200 RAM,Electronics,Computer
1196,Samsung 970 EVO 1TB SSD,Electronics,Computer
1197,Cooler Master MasterLiquid ML240R RGB Liquid CPU Cooler,Electronics,Computer
1198,ASUS Prime X570-Pro Motherboard,Electronics,Computer
1199,HyperX Predator RGB 16GB DDR4-3200 RAM,Electronics,Computer
1200,Western Digital Black SN850 1TB SSD,Electronics,Computer
1201,Noctua NH-U12S Chromax.Black CPU Cooler,Electronics,Computer
1202,MSI MPG B550I Gaming Edge WiFi Motherboard,Electronics,Computer
1203,G.SKILL Trident Z RGB 16GB DDR4-3200 RAM,Electronics,Computer
1204,Crucial P1 1TB SSD,Electronics,Computer
1205,be quiet! Dark Rock 4 CPU Cooler,Electronics,Computer
1206,ASUS Prime B550-Plus Motherboard,Electronics,Computer
1207,Corsair Vengeance LPX 32GB DDR4-3200 RAM,Electronics,Computer
1208,Sabrent Rocket Q 1TB SSD,Electronics,Computer
1209,NZXT Kraken Z73 Liquid CPU Cooler,Electronics,Computer
1210,Gigabyte AORUS B550 Pro AC Motherboard,Electronics,Computer
1211,Patriot Viper Steel 16GB DDR4-3200 RAM,Electronics,Computer
1212,Western Digital Blue SN550 500GB SSD,Electronics,Computer
1213,Cooler Master MasterAir MA410M CPU Cooler,Electronics,Computer
1214,ASRock B550 Phantom Gaming-ITX/ax Motherboard,Electronics,Computer
1215,Corsair Dominator Platinum RGB 32GB DDR4-3200 RAM,Electronics,Computer
1216,Seagate FireCuda 520 500GB SSD,Electronics,Computer
1217,Noctua NH-D15S Chromax.Black CPU Cooler,Electronics,Computer
1218,ASUS ROG Strix B550-I Gaming Motherboard,Electronics,Computer
1219,HyperX Fury RGB 16GB DDR4-3200 RAM,Electronics,Computer
1220,Samsung 970 PRO 512GB SSD,Electronics,Computer
1221,Cooler Master MasterLiquid ML360R RGB Liquid CPU Cooler,Electronics,Computer
1222,MSI MPG B550 Gaming Carbon WiFi,Electronics,Computer
1223,G.SKILL Ripjaws V 32GB DDR4-3200 RAM,Electronics,Computer
1224,Kingston A2000 1TB SSD,Electronics,Computer
1225,NZXT Kraken Z63 Liquid CPU Cooler,Electronics,Computer
1226,ASUS TUF Gaming B550-PLUS Motherboard,Electronics,Computer
1227,Corsair Vengeance RGB Pro 32GB DDR4-3200 RAM,Electronics,Computer
1228,Western Digital Blue SN550 2TB SSD,Electronics,Computer
1229,be quiet! Dark Rock Slim CPU Cooler,Electronics,Computer
1230,ASRock B550 Steel Legend Motherboard,Electronics,Computer
1231,Crucial Ballistix MAX RGB 16GB DDR4-3200 RAM,Electronics,Computer
1232,Samsung 970 EVO Plus 2TB SSD,Electronics,Computer
1233,Cooler Master Hyper 212 Black Edition CPU Cooler,Electronics,Computer
