,Description,Category,Sub_Category
347,Yarn,Entertainment,Arts_Crafts
348,Wood beads,Entertainment,Arts_Crafts
349,Scalloped scissors,Entertainment,Arts_Crafts
350,Scrapbook paper,Entertainment,Arts_Crafts
351,Scrapbooking scissors,Entertainment,Arts_Crafts
352,Sewing machine,Entertainment,Arts_Crafts
353,Sewing needles,Entertainment,Arts_Crafts
354,Sewing thread,Entertainment,Arts_Crafts
355,Silk flowers,Entertainment,Arts_Crafts
356,Silk ribbon,Entertainment,Arts_Crafts
357,Sketchbooks,Entertainment,Arts_Crafts
358,Spray paint,Entertainment,Arts_Crafts
359,Stained glass supplies,Entertainment,Arts_Crafts
360,Stamp pads,Entertainment,Arts_Crafts
361,Stencils,Entertainment,Arts_Crafts
362,String,Entertainment,Arts_Crafts
363,T-shirt transfer paper,Entertainment,Arts_Crafts
364,Tassels,Entertainment,Arts_Crafts
365,Tissue paper,Entertainment,Arts_Crafts
366,Watercolor paper,Entertainment,Arts_Crafts
367,Wax paper,Entertainment,Arts_Crafts
368,Paint markers,Entertainment,Arts_Crafts
369,Paint pens,Entertainment,Arts_Crafts
370,Paper cutter,Entertainment,Arts_Crafts
371,Paper flowers,Entertainment,Arts_Crafts
372,Paper mache,Entertainment,Arts_Crafts
373,Paper punches,Entertainment,Arts_Crafts
374,Parchment paper,Entertainment,Arts_Crafts
375,Pastels,Entertainment,Arts_Crafts
376,Pearl beads,Entertainment,Arts_Crafts
377,Pipe cleaners,Entertainment,Arts_Crafts
378,Pom-poms,Entertainment,Arts_Crafts
379,Polymer clay,Entertainment,Arts_Crafts
380,Pottery wheel,Entertainment,Arts_Crafts
381,Quilling paper,Entertainment,Arts_Crafts
382,Quilting fabric,Entertainment,Arts_Crafts
383,Ribbon,Entertainment,Arts_Crafts
384,Rickrack,Entertainment,Arts_Crafts
385,Rotary cutter,Entertainment,Arts_Crafts
386,Rubber bands,Entertainment,Arts_Crafts
387,Rubber stamps,Entertainment,Arts_Crafts
388,Metal stamping kit,Entertainment,Arts_Crafts
389,Mod Podge,Entertainment,Arts_Crafts
390,Needle-nose pliers,Entertainment,Arts_Crafts
391,Needlepoint kit,Entertainment,Arts_Crafts
392,Oil pastels,Entertainment,Arts_Crafts
393,Origami paper,Entertainment,Arts_Crafts
394,Knitting needles,Entertainment,Arts_Crafts
395,Lace,Entertainment,Arts_Crafts
396,Laminator,Entertainment,Arts_Crafts
397,Leather cord,Entertainment,Arts_Crafts
398,Looms,Entertainment,Arts_Crafts
399,Jigsaw puzzle,Entertainment,Games
400,Blank canvas,Entertainment,Arts_Crafts
401,Blunt scissors,Entertainment,Arts_Crafts
402,Bookbinding supplies,Entertainment,Arts_Crafts
403,Bristle brushes,Entertainment,Arts_Crafts
404,Buttons,Entertainment,Arts_Crafts
405,Calligraphy pens,Entertainment,Arts_Crafts
406,Cardboard,Entertainment,Arts_Crafts
407,Cardstock paper,Entertainment,Arts_Crafts
408,Chalk,Entertainment,Arts_Crafts
409,Charcoal pencils,Entertainment,Arts_Crafts
410,Chenille stems,Entertainment,Arts_Crafts
411,Clay,Entertainment,Arts_Crafts
412,Clothespins,Entertainment,Arts_Crafts
413,Colored pencils,Entertainment,Arts_Crafts
414,Construction paper,Entertainment,Arts_Crafts
415,Cotton balls,Entertainment,Arts_Crafts
416,Craft glue,Entertainment,Arts_Crafts
417,Craft scissors,Entertainment,Arts_Crafts
418,Craft sticks,Entertainment,Arts_Crafts
419,Craft wire,Entertainment,Arts_Crafts
420,Crochet hooks,Entertainment,Arts_Crafts
421,Cutting mat,Entertainment,Arts_Crafts
422,Decoupage glue,Entertainment,Arts_Crafts
423,Decorative paper,Entertainment,Arts_Crafts
424,Decorative tape,Entertainment,Arts_Crafts
425,Duct tape,Entertainment,Arts_Crafts
426,Embroidery floss,Entertainment,Arts_Crafts
427,Embroidery hoop,Entertainment,Arts_Crafts
428,Embroidery needles,Entertainment,Arts_Crafts
429,Fabric paint,Entertainment,Arts_Crafts
430,Fabric scissors,Entertainment,Arts_Crafts
431,Fabric tape,Entertainment,Arts_Crafts
432,Felting needles,Entertainment,Arts_Crafts
433,Foam brushes,Entertainment,Arts_Crafts
434,Foam sheets,Entertainment,Arts_Crafts
435,Glitter,Entertainment,Arts_Crafts
436,Glue gun,Entertainment,Arts_Crafts
437,Glue sticks,Entertainment,Arts_Crafts
438,Gold leaf,Entertainment,Arts_Crafts
439,Graphite pencils,Entertainment,Arts_Crafts
440,Heat gun,Entertainment,Arts_Crafts
441,Hot fix rhinestones,Entertainment,Arts_Crafts
442,Iron-on transfers,Entertainment,Arts_Crafts
443,Jewelry pliers,Entertainment,Arts_Crafts
514,"""To Kill a Mockingbird"" by Harper Lee",Entertainment,Books
515,"""The Great Gatsby"" by F. Scott Fitzgerald",Entertainment,Books
516,"""The Catcher in the Rye"" by J.D. Salinger",Entertainment,Books
517,"""1984"" by George Orwell",Entertainment,Books
518,"""The Bible""",Entertainment,Books
519,"""The Lord of the Rings"" by J.R.R. Tolkien",Entertainment,Books
520,"""The Hobbit"" by J.R.R. Tolkien",Entertainment,Books
521,"""Pride and Prejudice"" by Jane Austen",Entertainment,Books
522,"""Little Women"" by Louisa May Alcott",Entertainment,Books
523,"""The Adventures of Huckleberry Finn"" by Mark Twain",Entertainment,Books
