,Description,Category,Sub_Category
0,Arby's,Food,Resturants
1,Burger King,Food,Resturants
2,Carl's Jr.,Food,Resturants
3,Chick-fil-A,Food,Resturants
4,Chipotle Mexican Grill,Food,Resturants
5,Del Taco,Food,Resturants
6,Domino's Pizza,Food,Resturants
7,Dunkin' Donuts,Food,Resturants
8,Five Guys,Food,Resturants
9,In-N-Out Burger,Food,Resturants
10,Jack in the Box,Food,Resturants
11,KFC,Food,Resturants
12,Little Caesars,Food,Resturants
13,McDonald's,Food,Resturants
14,Papa John's,Food,Resturants
15,Panda Express,Food,Resturants
16,Pizza Hut,Food,Resturants
17,Popeyes Louisiana Kitchen,Food,Resturants
18,Quiznos,Food,Resturants
19,Sonic Drive-In,Food,Resturants
20,Subway,Food,Resturants
21,Taco Bell,Food,Resturants
22,Wendy's,Food,Resturants
23,Arby's,Food,Resturants
24,Bojangles' Famous Chicken 'n Biscuits,Food,Resturants
25,Burger King,Food,Resturants
26,Carl's Jr.,Food,Resturants
27,Chick-fil-A,Food,Resturants
28,Chipotle Mexican Grill,Food,Resturants
29,Church's Chicken,Food,Resturants
30,Culver's,Food,Resturants
31,Dairy Queen,Food,Resturants
32,Domino's Pizza,Food,Resturants
33,Dunkin' Donuts,Food,Resturants
34,Five Guys,Food,Resturants
35,Hardee's,Food,Resturants
36,In-N-Out Burger,Food,Resturants
37,Jack in the Box,Food,Resturants
38,KFC,Food,Resturants
39,Krispy Kreme,Food,Resturants
40,Little Caesars,Food,Resturants
41,Long John Silver's,Food,Resturants
42,McDonald's,Food,Resturants
43,Panda Express,Food,Resturants
44,Pizza Hut,Food,Resturants
45,Popeyes Louisiana Kitchen,Food,Resturants
46,Rally's,Food,Resturants
47,Shake Shack,Food,Resturants
48,Sonic Drive-In,Food,Resturants
49,Subway,Food,Resturants
50,Taco Bell,Food,Resturants
51,Wendy's,Food,Resturants
52,Whataburger,Food,Resturants
53,Arby's,Food,Resturants
54,Auntie Anne's,Food,Resturants
55,Blaze Pizza,Food,Resturants
56,Bojangles' Famous Chicken 'n Biscuits,Food,Resturants
57,Burger King,Food,Resturants
58,Carl's Jr.,Food,Resturants
59,Chick-fil-A,Food,Resturants
60,Chipotle Mexican Grill,Food,Resturants
61,Church's Chicken,Food,Resturants
62,Dairy Queen,Food,Resturants
63,Domino's Pizza,Food,Resturants
64,Dunkin' Donuts,Food,Resturants
65,Five Guys,Food,Resturants
66,In-N-Out Burger,Food,Resturants
67,Jack in the Box,Food,Resturants
68,KFC,Food,Resturants
69,Krispy Kreme,Food,Resturants
70,Little Caesars,Food,Resturants
71,McDonald's,Food,Resturants
72,MOD Pizza,Food,Resturants
73,Panda Express,Food,Resturants
74,Papa John's,Food,Resturants
75,Pizza Hut,Food,Resturants
76,Popeyes Louisiana Kitchen,Food,Resturants
77,Raising Cane's Chicken Fingers,Food,Resturants
78,Shake Shack,Food,Resturants
79,Sonic Drive-In,Food,Resturants
80,Subway,Food,Resturants
81,Taco Bell,Food,Resturants
82,Wendy's,Food,Resturants
955,Walmart,Food,Groceries
956,Kroger,Food,Groceries
957,Albertsons,Food,Groceries
958,Publix,Food,Groceries
959,Ahold Delhaize,Food,Groceries
960,Costco,Food,Groceries
961,H-E-B,Food,Groceries
962,Wegmans,Food,Groceries
963,Trader Joe's,Food,Groceries
964,Whole Foods Market,Food,Groceries
965,Target,Food,Groceries
966,Meijer,Food,Groceries
967,Hy-Vee,Food,Groceries
968,Safeway,Food,Groceries
969,Giant Food Stores,Food,Groceries
970,ShopRite,Food,Groceries
971,WinCo Foods,Food,Groceries
972,Aldi,Food,Groceries
973,Sprouts Farmers Market,Food,Groceries
974,Food Lion,Food,Groceries
975,The Fresh Market,Food,Groceries
976,SuperValu,Food,Groceries
977,Giant Eagle,Food,Groceries
978,Fry's Food Stores,Food,Groceries
979,Harris Teeter,Food,Groceries
980,King Soopers,Food,Groceries
981,Ralphs,Food,Groceries
982,Fred Meyer,Food,Groceries
983,Vons,Food,Groceries
984,Jewel-Osco,Food,Groceries
985,QFC,Food,Groceries
986,Schnucks,Food,Groceries
987,Smith's Food and Drug,Food,Groceries
988,Food 4 Less,Food,Groceries
989,Stop & Shop,Food,Groceries
990,Price Chopper,Food,Groceries
991,Rouses Markets,Food,Groceries
992,Piggly Wiggly,Food,Groceries
993,Bilo,Food,Groceries
994,Food City,Food,Groceries
995,Brookshire's,Food,Groceries
996,Ingles Markets,Food,Groceries
997,Weis Markets,Food,Groceries
998,Save Mart Supermarkets,Food,Groceries
3438,ADMIRAL BEVERAGE CORP,Food,Groceries
3443,Quest Nutrition S'mores Protein Bar,Food,Groceries
3445,Quest Nutrition Cookies Cream Protein Bars,Food,Groceries
3446,Natural Force Organic MTC oil Pure glass Bottle,Food,Groceries
3447,"Organic Inulin FOS Powder (Jerusalem Artichoke), 2.2 Pounds (35 Ounce), Quick Water Soluble, Prebiotic Intestinal Support for Colon and Gut Health, Natural Fibers for Smoothie & Drinks, Vegan FriendlyOrganic Inulin FOS Powder (Jerusalem Artichoke)",Food,Groceries
3451,BEANS BREWS COFFEE,Food,Resturants
3461,Blue Lemon,Food,Resturants
3464,Harmons,Food,Groceries
3465,RoxBerry Juice,Food,Resturants
3466,Caf� Rio,Food,Resturants
