,Description,Category,Sub_Category
83,409 All-Purpose Cleaner,Home,Home_Essentials
84,Affresh Washer Cleaner,Home,Home_Essentials
85,Ajax Cleaner,Home,Home_Essentials
86,Air Wick Air Fresheners,Home,Home_Essentials
87,Arm & Hammer Baking Soda,Home,Home_Essentials
88,Bar Keepers Friend Cleanser,Home,Home_Essentials
89,Bissell Carpet Cleaners,Home,Home_Essentials
90,Bon Ami Cleanser,Home,Home_Essentials
91,Bounty Paper Towels,Home,Home_Essentials
92,Bounce Dryer Sheets,Home,Home_Essentials
93,Cascade Dishwashing Detergent,Home,Home_Essentials
94,Charmin Toilet Paper,Home,Home_Essentials
95,Clorox Bleach,Home,Home_Essentials
96,Clorox Disinfecting Wipes,Home,Home_Essentials
97,Clorox Toilet Bowl Cleaner,Home,Home_Essentials
98,Comet Cleanser,Home,Home_Essentials
99,Dawn Dishwashing Detergent,Home,Home_Essentials
100,Drano Drain Cleaner,Home,Home_Essentials
101,Downy Fabric Softener,Home,Home_Essentials
102,Dreft Laundry Detergent,Home,Home_Essentials
103,Dryel At-Home Dry Cleaning Kits,Home,Home_Essentials
104,Duracell Batteries,Home,Home_Essentials
105,Febreze Air Fresheners,Home,Home_Essentials
106,Finish Dishwashing Detergent,Home,Home_Essentials
107,Formula 409 All-Purpose Cleaner,Home,Home_Essentials
108,Gain Laundry Detergent,Home,Home_Essentials
109,Goo Gone Stain Remover,Home,Home_Essentials
110,Green Works All-Purpose Cleaner,Home,Home_Essentials
111,Hoover Vacuum Cleaners,Home,Home_Essentials
112,"Kaboom Shower, Tub & Tile Cleaner",Home,Home_Essentials
113,Lemi Shine Dishwashing Detergent,Home,Home_Essentials
114,Lysol Disinfecting Wipes,Home,Home_Essentials
115,Magic Eraser Cleaning Pads,Home,Home_Essentials
116,Method All-Purpose Cleaner,Home,Home_Essentials
117,Microban 24 Hour Sanitizing Spray,Home,Home_Essentials
118,Mrs. Meyer's Clean Day All-Purpose Cleaner,Home,Home_Essentials
119,Murphy Oil Soap,Home,Home_Essentials
120,O-Cedar Mops and Brooms,Home,Home_Essentials
121,OxiClean Stain Remover,Home,Home_Essentials
122,Pine-Sol All-Purpose Cleaner,Home,Home_Essentials
123,Pledge Furniture Polish,Home,Home_Essentials
124,Purell Hand Sanitizer,Home,Home_Essentials
125,Resolve Carpet Cleaner,Home,Home_Essentials
126,Rid-X Septic Tank Treatment,Home,Home_Essentials
127,Rubbermaid Storage Containers,Home,Home_Essentials
128,Rug Doctor Carpet Cleaners,Home,Home_Essentials
129,S.O.S. Steel Wool Pads,Home,Home_Essentials
130,Scotch-Brite Sponges,Home,Home_Essentials
131,Scrubbing Bubbles Bathroom Cleaner,Home,Home_Essentials
132,Seventh Generation All-Purpose Cleaner,Home,Home_Essentials
133,Shout Stain Remover,Home,Home_Essentials
134,Simple Green All-Purpose Cleaner,Home,Home_Essentials
135,Soft Scrub Cleanser,Home,Home_Essentials
136,Spot Shot Carpet Stain Remover,Home,Home_Essentials
137,Sprayway Glass Cleaner,Home,Home_Essentials
138,Swiffer Cleaning System,Home,Home_Essentials
139,Tilex Mold & Mildew Remover,Home,Home_Essentials
140,Tide Laundry Detergent,Home,Home_Essentials
141,Tilex Shower Cleaner,Home,Home_Essentials
142,Windex Glass Cleaner,Home,Home_Essentials
143,Woolite Laundry Detergent,Home,Home_Essentials
144,Zep All-Purpose Cleaner,Home,Home_Essentials
145,Blender,Home,Kitchen
146,Can opener,Home,Kitchen
147,Coffee maker,Home,Kitchen
148,"Cooking utensils (spatulas, spoons, tongs, etc.)",Home,Kitchen
149,Cutting board,Home,Kitchen
150,Dish rack,Home,Kitchen
151,Dish towels,Home,Kitchen
152,Dish soap,Home,Kitchen
153,Dishwasher detergent,Home,Kitchen
154,Dutch oven,Home,Kitchen
155,Electric kettle,Home,Kitchen
156,Food processor,Home,Kitchen
157,Frying pan,Home,Kitchen
158,Garbage can,Home,Kitchen
159,"Glassware (glasses, mugs, etc.)",Home,Kitchen
160,Hand mixer,Home,Kitchen
161,Ice cube trays,Home,Kitchen
162,Instant Pot,Home,Kitchen
163,Juicer,Home,Kitchen
164,Kitchen towels,Home,Kitchen
165,Knife set,Home,Kitchen
166,Measuring cups and spoons,Home,Kitchen
167,Microwave,Home,Kitchen
168,Mixing bowls,Home,Kitchen
169,Muffin tin,Home,Kitchen
170,Non-stick cooking spray,Home,Kitchen
171,Oven mitts,Home,Kitchen
172,Parchment paper,Home,Kitchen
173,Pasta strainer,Home,Kitchen
174,Peeler,Home,Kitchen
175,Pitcher,Home,Kitchen
176,Plastic wrap,Home,Kitchen
177,Pots and pans,Home,Kitchen
178,Pressure cooker,Home,Kitchen
179,Rice cooker,Home,Kitchen
180,Rolling pin,Home,Kitchen
181,Salad spinner,Home,Kitchen
182,Salt and pepper shakers,Home,Kitchen
183,Saut� pan,Home,Kitchen
184,Scale,Home,Kitchen
185,Serving platters,Home,Kitchen
186,Silicone baking mats,Home,Kitchen
