,Description,Category,Sub_Category
569,Maybelline Great Lash Mascara,Personal_Care,Makeup
570,L'Oreal Paris Voluminous Mascara,Personal_Care,Makeup
571,MAC Lipstick,Personal_Care,Makeup
572,NARS Orgasm Blush,Personal_Care,Makeup
573,Urban Decay Naked Palette,Personal_Care,Makeup
574,Est�e Lauder Double Wear Foundation,Personal_Care,Makeup
575,CoverGirl LashBlast Mascara,Personal_Care,Makeup
576,Revlon ColorStay Foundation,Personal_Care,Makeup
577,Benefit Hoola Bronzer,Personal_Care,Makeup
578,Anastasia Beverly Hills Dipbrow Pomade,Personal_Care,Makeup
579,Clinique Dramatically Different Moisturizing Lotion,Personal_Care,Makeup
580,Laura Mercier Translucent Loose Setting Powder,Personal_Care,Makeup
581,Too Faced Better Than Sex Mascara,Personal_Care,Makeup
582,Tarte Shape Tape Concealer,Personal_Care,Makeup
583,Kat Von D Tattoo Liner,Personal_Care,Makeup
584,Fenty Beauty Pro Filt'r Soft Matte Longwear Foundation,Personal_Care,Makeup
585,NYX Soft Matte Lip Cream,Personal_Care,Makeup
586,Huda Beauty Desert Dusk Eyeshadow Palette,Personal_Care,Makeup
587,Maybelline Instant Age Rewind Eraser Dark Circles Concealer,Personal_Care,Makeup
588,Benefit They're Real! Mascara,Personal_Care,Makeup
589,Becca Shimmering Skin Perfector,Personal_Care,Makeup
590,Smashbox Photo Finish Foundation Primer,Personal_Care,Makeup
591,L'Oreal Paris True Match Foundation,Personal_Care,Makeup
592,Giorgio Armani Luminous Silk Foundation,Personal_Care,Makeup
593,Morphe Brushes Jaclyn Hill Eyeshadow Palette,Personal_Care,Makeup
594,MAC Studio Fix Fluid Foundation,Personal_Care,Makeup
595,Too Faced Sweet Peach Eyeshadow Palette,Personal_Care,Makeup
596,Milk Makeup Kush Mascara,Personal_Care,Makeup
597,IT Cosmetics Your Skin But Better CC+ Cream,Personal_Care,Makeup
598,Cover FX Custom Enhancer Drops,Personal_Care,Makeup
599,Glossier Boy Brow,Personal_Care,Makeup
600,ColourPop Super Shock Shadows,Personal_Care,Makeup
601,KVD Vegan Beauty Lock-It Tattoo Foundation,Personal_Care,Makeup
602,Farsali Unicorn Essence,Personal_Care,Makeup
603,Urban Decay All Nighter Setting Spray,Personal_Care,Makeup
604,Bobbi Brown Shimmer Brick,Personal_Care,Makeup
605,Charlotte Tilbury Filmstar Bronze & Glow,Personal_Care,Makeup
606,Hourglass Ambient Lighting Powder,Personal_Care,Makeup
607,Stila Stay All Day Liquid Lipstick,Personal_Care,Makeup
608,L'Oreal Paris Infallible Pro-Matte Foundation,Personal_Care,Makeup
609,Yves Saint Laurent Touche �clat Radiant Touch Concealer,Personal_Care,Makeup
610,Too Faced Born This Way Foundation,Personal_Care,Makeup
611,ABH Modern Renaissance Eyeshadow Palette,Personal_Care,Makeup
612,Benefit Gimme Brow,Personal_Care,Makeup
613,Buxom Full-On Lip Polish,Personal_Care,Makeup
614,Tom Ford Lip Color,Personal_Care,Makeup
615,Dior Diorshow Mascara,Personal_Care,Makeup
616,Tarte Amazonian Clay 12-Hour Blush,Personal_Care,Makeup
617,Fenty Beauty Gloss Bomb Universal Lip Luminizer,Personal_Care,Makeup
618,ColourPop No Filter Concealer,Personal_Care,Makeup
619,Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette,Personal_Care,Makeup
620,Pat McGrath Labs MatteTrance Lipstick,Personal_Care,Makeup
621,Milk Makeup Blur Stick,Personal_Care,Makeup
622,"Tarte Lights, Camera, Lashes 4-in-1 Mascara",Personal_Care,Makeup
623,Charlotte Tilbury Pillow Talk Lipstick,Personal_Care,Makeup
624,Smashbox Always On Liquid Lipstick,Personal_Care,Makeup
625,Fenty Beauty Killawatt Freestyle Highlighter,Personal_Care,Makeup
626,Kat Von D Studded Kiss Lipstick,Personal_Care,Makeup
627,Glossier Balm Dotcom,Personal_Care,Makeup
628,L'Oreal Paris Voluminous Lash Paradise Mascara,Personal_Care,Makeup
629,Hourglass Vanish Seamless Finish Foundation Stick,Personal_Care,Makeup
630,NARS Radiant Creamy Concealer,Personal_Care,Makeup
631,Benefit Benetint Cheek & Lip Stain,Personal_Care,Makeup
632,Anastasia Beverly Hills Liquid Lipstick,Personal_Care,Makeup
633,Marc Jacobs Beauty Highliner Gel Eye Crayon,Personal_Care,Makeup
634,Huda Beauty Rose Gold Remastered Eyeshadow Palette,Personal_Care,Makeup
635,Becca Ever-Matte Poreless Priming Perfector,Personal_Care,Makeup
636,Smashbox Step-By-Step Contour Kit,Personal_Care,Makeup
637,Maybelline Fit Me Matte + Poreless Foundation,Personal_Care,Makeup
638,L'Oreal Paris Colour Riche Lipstick,Personal_Care,Makeup
639,Urban Decay Vice Lipstick,Personal_Care,Makeup
640,NARS Laguna Bronzer,Personal_Care,Makeup
641,Tarte Amazonian Clay Full Coverage Foundation,Personal_Care,Makeup
642,NYX Butter Gloss,Personal_Care,Makeup
643,Clinique Almost Lipstick,Personal_Care,Makeup
644,KVD Vegan Beauty Everlasting Liquid Lipstick,Personal_Care,Makeup
645,Too Faced Chocolate Bar Eyeshadow Palette,Personal_Care,Makeup
646,Anastasia Beverly Hills Brow Wiz,Personal_Care,Makeup
647,Est�e Lauder Advanced Night Repair Serum,Personal_Care,Makeup
648,Maybelline SuperStay Matte Ink Liquid Lipstick,Personal_Care,Makeup
